id_empregado,departamento,regiao,educacao,genero,canal_de_recrutamento,n_de_treinamentos,idade,pontuacao_ano_anterior,tempo_de_servico,KPIs >80%,venceu_premiacoes?,pontuacao_media_treinamentos,foi_promovido
65438,Vendas & Marketing,regiao_7,Mestrado & acima,F,processo seletivo,1,35,5.0,8,1,0,49,0
65141,Operacoes,regiao_22,Bacharelado,M,outros,1,30,5.0,4,0,0,60,0
7513,Vendas & Marketing,regiao_19,Bacharelado,M,processo seletivo,1,34,3.0,7,0,0,50,0
2542,Vendas & Marketing,regiao_23,Bacharelado,M,outros,2,39,1.0,10,0,0,50,0
48945,Tecnologia,regiao_26,Bacharelado,M,outros,1,45,3.0,2,0,0,73,0
58896,Analise,regiao_2,Bacharelado,M,processo seletivo,2,31,3.0,7,0,0,85,0
20379,Operacoes,regiao_20,Bacharelado,F,outros,1,31,3.0,5,0,0,59,0
16290,Operacoes,regiao_34,Mestrado & acima,M,processo seletivo,1,33,3.0,6,0,0,63,0
73202,Analise,regiao_20,Bacharelado,M,outros,1,28,4.0,5,0,0,83,0
28911,Vendas & Marketing,regiao_1,Mestrado & acima,M,processo seletivo,1,32,5.0,5,1,0,54,0
29934,Tecnologia,regiao_23,,M,processo seletivo,1,30,,1,0,0,77,0
49017,Vendas & Marketing,regiao_7,Bacharelado,F,processo seletivo,1,35,5.0,3,1,0,50,1
60051,Vendas & Marketing,regiao_4,Bacharelado,M,processo seletivo,1,49,5.0,5,1,0,49,0
38401,Tecnologia,regiao_29,Mestrado & acima,M,outros,2,39,3.0,16,0,0,80,0
77040,Pesquisa & Desenvolvimento,regiao_2,Mestrado & acima,M,processo seletivo,1,37,3.0,7,0,0,84,0
43931,Operacoes,regiao_7,Bacharelado,M,outros,1,37,1.0,10,0,0,60,0
7152,Tecnologia,regiao_2,Bacharelado,M,outros,1,38,3.0,5,1,0,77,0
9403,Vendas & Marketing,regiao_31,Bacharelado,M,outros,1,34,1.0,4,0,0,51,0
17436,Vendas & Marketing,regiao_31,Bacharelado,M,outros,1,34,5.0,8,1,0,46,0
54461,Operacoes,regiao_15,Bacharelado,M,outros,1,37,3.0,9,0,0,59,0
12067,Compras,regiao_14,Bacharelado,M,outros,1,35,3.0,7,0,0,75,0
33332,Operacoes,regiao_15,,M,processo seletivo,1,41,4.0,11,0,0,57,0
58789,Financeiro,regiao_11,Bacharelado,F,outros,1,28,3.0,4,0,0,63,0
71177,Compras,regiao_5,Bacharelado,M,outros,1,27,,1,0,0,70,0
52057,Financeiro,regiao_22,Mestrado & acima,M,processo seletivo,2,39,5.0,7,0,0,59,0
26585,Tecnologia,regiao_22,Bacharelado,M,outros,1,27,5.0,3,1,0,83,0
37749,Compras,regiao_26,Bacharelado,M,outros,1,31,5.0,4,1,0,68,0
2370,Tecnologia,regiao_26,Bacharelado,M,outros,1,33,4.0,4,0,0,79,0
8219,Analise,regiao_5,Bacharelado,M,outros,1,29,5.0,3,1,0,80,0
74759,Vendas & Marketing,regiao_4,Bacharelado,M,processo seletivo,1,26,,1,0,0,44,0
27395,Compras,regiao_15,Bacharelado,M,processo seletivo,1,37,5.0,10,1,0,72,0
58536,Financeiro,regiao_31,Bacharelado,M,outros,2,26,1.0,2,0,0,61,0
35465,Vendas & Marketing,regiao_7,,F,processo seletivo,1,24,1.0,2,0,0,48,0
51756,Operacoes,regiao_2,Bacharelado,M,processo seletivo,2,57,4.0,6,0,0,58,0
57011,Analise,regiao_22,Bacharelado,M,outros,2,27,5.0,3,1,0,87,0
77064,Vendas & Marketing,regiao_22,Bacharelado,M,outros,1,40,2.0,4,1,0,47,0
64062,Tecnologia,regiao_28,Bacharelado,M,processo seletivo,1,33,4.0,4,1,0,75,0
47123,Vendas & Marketing,regiao_7,Bacharelado,F,processo seletivo,1,40,5.0,3,0,0,47,0
56275,Vendas & Marketing,regiao_1,Mestrado & acima,M,outros,1,42,5.0,5,1,0,51,0
58304,Vendas & Marketing,regiao_28,Bacharelado,M,processo seletivo,1,33,5.0,6,1,0,51,1
25014,Tecnologia,regiao_15,Bacharelado,M,outros,1,34,3.0,10,0,0,80,0
40097,Operacoes,regiao_2,Bacharelado,F,outros,2,23,4.0,2,1,0,57,0
23560,RH,regiao_2,Bacharelado,M,processo seletivo,1,59,4.0,26,1,0,52,0
17423,Vendas & Marketing,regiao_2,,M,outros,3,24,2.0,2,0,0,48,0
61758,Analise,regiao_2,Bacharelado,M,outros,1,44,5.0,12,0,0,88,0
75009,Compras,regiao_17,Bacharelado,F,processo seletivo,1,50,5.0,11,0,0,71,0
17876,Compras,regiao_13,Mestrado & acima,F,outros,1,37,4.0,4,0,0,71,0
36924,Tecnologia,regiao_16,Bacharelado,M,processo seletivo,1,40,3.0,11,0,0,80,0
50408,Vendas & Marketing,regiao_20,Bacharelado,M,processo seletivo,1,30,3.0,3,1,0,49,0
18013,Compras,regiao_2,Mestrado & acima,F,processo seletivo,1,56,3.0,12,0,0,73,0
24104,Financeiro,regiao_2,Bacharelado,M,processo seletivo,1,20,4.0,2,1,0,60,0
32083,Vendas & Marketing,regiao_25,Bacharelado,F,processo seletivo,1,31,3.0,8,0,0,48,0
38330,Compras,regiao_15,Bacharelado,M,processo seletivo,1,40,3.0,12,1,0,65,0
33690,RH,regiao_22,Bacharelado,M,outros,1,30,1.0,6,0,0,50,0
